name,start_time,end_time,report,hg_sp_min,hg_sp_max
"HG_Los Hierros 2",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Ojos de Agua",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Abanico",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_San Clemente",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Robleria",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Chacayes",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Chacabuquito",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Confluencia",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Angostura",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Blanco",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Curillinque",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Juncalito",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Juncal",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Isla",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hornitos",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Loma Alta",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Laja I",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_La Higuera",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Palmucho",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Los Quilos",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Los Hierros",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Rucue",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_San Ignacio",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Quilleco",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_La Mina",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Los Condores",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Antuco",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_El Toro",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Colbun",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Cipreses",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Canutillar",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Machicura",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Rapel",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Ralco",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Pehuenche",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Pangue",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Chiburgo",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Alfalfal",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Allip�n",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Alto Renaico",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Ancoa",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Arrayan",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Auxiliar del Maipo",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Boquiamargo",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Bureo",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Caliboro",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_CH Callao",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Capullo",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Carena",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Carilafqu�n",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Chanleufu",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Collil",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Contra",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Coya",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Cumpeo",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Curileufu",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Don Walterio",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Dongo",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Donguil",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Do�a Hilda",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Dos Valles_RBC",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_El Agrio",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_El Arrayan",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_El Canelo",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_El Colorado",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_El Diuto",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_El Galpon",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_El Llano",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_El Manzano",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_El Mirador",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_El Paso",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_El Rinc�n",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_El T�rtaro",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Ensenada",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Eyzaguirre",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Florida",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Guayacan",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hidrori�inahue",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Itata",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_La Arena",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_La Bifurcada",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_La Paloma",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_La Vi�a-Alto La Vi�a",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Las Flores",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Las Vertientes",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Lican",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Lircay",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Lleuquereo",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Los Bajos",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Los Colonos",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Los Corrales",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Los Corrales 2",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Los Molles",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Los Morros",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Los Padres",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Maisan",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Maitenes",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Malalcahuello",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Mallarauco",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Mampil",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Mar�a Elena",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Mariposas",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_MCH Dosal",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Melo",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Molinera Villarica",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Muchi",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_CH Nalcas",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Panguipulli",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Pehui",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Peuchen",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Pichilonco",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Pilmaiquen",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Piutel",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Mulchen",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Providencia",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Puclaro",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Pulelfu",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Pullinque",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Puntilla",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Pur�sima",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Queltehues",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Quillaileo",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Reca",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Renaico Hidro",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_CH Rio Huasco",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Picoiquen",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Rio Trueno",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Rio Colorado",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Rucatayo",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Sauce Andes",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_San Andres",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Santa Elena",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Santa Isabel",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Sauzal",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Sauzalito",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Trailelfu",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Tranquil",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Trufultruful",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Volcan",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_MCH El Brinco",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_MSA-1",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_CAVANCHA",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_CHAPIQUINA",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Alfalfal 02",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_El Pinar",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Las Lajas",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Las Nieves",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_�uble",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_San Pedro",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Cumbres",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Palacios",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Vi�a Tarapac�",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Convento Viejo",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_MCHP Cipresillos",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Trup�n",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_CH Bonito 1",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_CH Bonito 2",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Dos Valles",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Guayacan_am",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Palmar + Correntoso",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hidromocho",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_La Monta�a",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_La Monta�a 2",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Laja I_rbc",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Maitenes_am",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Munilque 1",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Munilque 2",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Confluencia_RBC",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_El Paso_RBC",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_La Higuera_RBC",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Palacios_RBC",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_San Andres_RBC",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_La Confianza",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Digua",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_MCH Aill�n",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Alfalfal Ampl",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hidrori�inahue Ampl",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Ampliaci�n CH Dos Valles",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Central Hidroel�ctrica Corrales",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_PMGD CH El Atajo",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_PMGD CH Chilco",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_CH Los Lagos",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_CH Alto Bonito",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Central Hidroel�ctrica Punta del Viento",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_ALTO_HOSPICIO",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_EL_TORO_N2",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_SANTA_ROSA",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_MCH Cosapilla",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Ancoa01",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Ancoa02",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Ancoa04",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Ancoa06",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Ancoa07",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Ancoa08",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Ancoa09",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Ancoa10",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Ancoa11",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Ancoa12",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Ancoa13",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Ancoa14",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Ancoa15",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Ancoa16",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Ancoa17",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Ancoa19",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Ancoa20",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Charrua01",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Charrua02",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Candelaria01",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Candelaria04",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Candelaria05",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Cautin02",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Cautin03",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Cautin07",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Cautin08",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Cautin09",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Cautin10",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Cautin11",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Cautin12",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Cautin14",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Cautin16",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Cautin17",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Mulchen01",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Pichirropulli10",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Ancoa18",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Cautin01",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Charrua03",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Charrua04",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Charrua05",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Charrua06",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Cautin15",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Cautin06",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Mulchen02",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Mulchen04",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Mulchen05",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Mulchen06",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Mulchen08",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Mulchen09",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Mulchen11",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Mulchen13",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Mulchen14",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Mulchen15",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Mulchen16",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Pichirropulli01",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Pichirropulli03",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Pichirropulli04",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Pichirropulli05",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Pichirropulli06",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Pichirropulli07",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Pichirropulli08",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Pichirropulli09",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Pichirropulli11",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Valdivia01",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_PMontt03",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Polpaico01",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Rahue01",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Rahue02",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Rahue03",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Rahue04",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hid_Rapel02",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_BG01_Lagunas",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_BG02_Parinacota",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_BG03_Tarapaca",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_BG04_Chacaya",1970-01-01-00:00,2060-01-01-00:00,true,0,99999
"HG_Hidroel�ctrica Piedras Negras",1970-01-01-00:00,2050-01-01-00:00,true,0,99999
"HG_Central Hidroel�ctrica Moraga",1970-01-01-00:00,2050-01-01-00:00,true,0,99999
"HG_Central Hidroel�ctrica San Jos�",1970-01-01-00:00,2050-01-01-00:00,true,0,99999
"HG_Central Hidroel�ctrica San Luis",1970-01-01-00:00,2050-01-01-00:00,true,0,99999
