time,Proj_NuevaCharrua500,Proj_Cumbre500,Proj_Pichirropulli500,Proj_Polpaico500,Proj_Ancud500,Proj_AltoJahuel500,Proj_NuevaCardones500,Proj_Ancoa500,Proj_RioMalleco500,Proj_NuevaPandeAzucar500,Proj_NuevaMaitencillo500,Proj_NuevaPuertoMontt500,Proj_Parinas500,Proj_NuevaZaldivar220,Proj_Kimal500,Proj_LosChangos500,Proj_Lagunas220,Proj_Kimal220,Proj_LosChangos220,Proj_Parinacota220,Proj_NuevaPozoAlmonte220,Proj_Quillota500,Proj_Rapel500,Proj_Concepcion500,Proj_Mulchen500,Proj_Candelaria500
2025-01-01-00:00,1.000000006,1.026845616,0.973847225,0.983069534,1.000000006,0.997677847,1.024468091,0.986145581,1.000000006,0.978133628,0.989763204,0.952033481,1.2478642,1.03004918,1.000000006,1.000000006,1.081287505,1.010641958,1.000000006,0.985109216,0.984737159,1.012899882,1.000000006,1.021963692,0.984392227,1.000000006
2026-01-01-00:00,1.000000016,1.015712202,0.992425064,1.008839487,1.000000016,1.002071461,1.074646514,1.030104205,1.000000016,0.990582945,0.989987696,0.969215319,2.720101864,1.065274415,1.000000016,1.000000016,1.056061025,1.050704841,1.000000016,1.000218746,0.993439389,1.051213972,1.000000016,1.005043751,0.999559139,1.000000016
2027-01-01-00:00,0.999999971,1.0755728,1.013751399,1.005377462,0.999999971,1.009502615,1.06264134,1.035265883,0.999999971,1.089592109,1.028862212,0.993875033,1.734497197,1.037510329,0.999999971,0.999999971,1.016393582,1.005484597,0.999999971,1.020845998,1.015660849,1.022604141,0.999999971,1.017357816,1.010385321,0.999999971
2028-01-01-00:00,1.000000028,0.99199371,1.015790844,1.006723593,1.000000028,1.151017162,1.163704399,0.995607501,1.000000028,1.089463559,1.002337219,0.986731171,0.831570785,0.999762333,1.000000028,1.000000028,1.111919984,1.039159729,1.000000028,0.991169945,0.995274043,0.999236745,1.000000028,1.007489284,0.988950256,1.000000028
2029-01-01-00:00,1.000000016,1.031048252,1.043004537,1.00821999,1.000000016,1.014368292,1.032836569,1.017587888,1.000000016,1.024129293,1.011533723,1.028443241,0.950036137,1.014228374,1.000000016,1.000000016,0.988154633,1.023992844,1.000000016,1.021979386,1.021661377,1.051361559,1.000000016,1.045470134,1.019690074,1.000000016
2030-01-01-00:00,0.999999987,1.51445623,1.037952046,1.059041362,0.999999987,1.136834768,1.000133122,1.018913655,0.999999987,1.016691107,1.014720819,1.041370918,1.028501403,1.050445295,0.999999987,0.999999987,0.995578079,1.042581878,0.999999987,1.030119507,1.028196868,1.055410466,0.999999987,1.069347329,1.023162578,0.999999987
2031-01-01-00:00,0.999999992,1.008243314,1.052408672,1.041631006,0.999999992,1.012802266,1.019781443,1.048944443,0.999999992,1.017570842,1.005619471,1.06118168,1.078142267,1.02013042,0.999999992,0.999999992,1.003351312,1.062072592,0.999999992,1.048067564,1.0495592,1.039676381,0.999999992,1.052409248,1.040242927,0.999999992
2032-01-01-00:00,1.000000007,0.996433064,1.038689932,1.033250147,1.000000007,1.021821409,1.053620938,1.036673011,1.000000007,1.022919046,1.034353372,1.052315248,1.037650677,1.02718979,1.000000007,1.000000007,1.008731435,1.34960123,1.000000007,1.039851862,1.043005254,1.035668424,1.000000007,1.106164904,1.039430582,1.000000007
2033-01-01-00:00,1.000000011,0.973024152,1.052365044,1.017414857,1.000000011,1.013591649,0.982440736,1.037861396,1.000000011,0.99262498,1.052253386,1.055473197,1.013893021,0.952392377,1.000000011,1.000000011,0.966939786,0.989426722,1.000000011,1.045065077,1.047442722,1.041251297,1.000000011,1.102589949,1.04586275,1.000000011
2034-01-01-00:00,0.999999983,0.952508903,1.047977713,1.01245814,0.999999983,1.018131325,0.994593505,1.036800511,0.999999983,0.997820128,0.976032105,1.05010585,0.992822273,0.920831479,0.999999983,0.999999983,0.961072613,1.00062948,0.999999983,1.043072657,1.045418567,1.0129808,0.999999983,1.094928086,1.043929252,0.999999983
2035-01-01-00:00,0.999999999,1.003315622,1.045438102,1.04088153,0.999999999,1.015249774,0.985268539,1.034007547,0.999999999,0.999173486,0.978914016,1.047265419,0.988539189,0.974657776,0.999999999,0.999999999,0.964437541,1.018271745,0.999999999,1.039635348,1.042594,1.011320022,0.999999999,1.090600401,1.041481176,0.999999999
2036-01-01-00:00,0.999999996,0.99132321,1.048426147,1.036332688,0.999999996,1.014776669,0.994682425,1.034650468,0.999999996,1.006455137,0.99437983,1.05600737,1.071748791,1.001229765,0.999999996,0.999999996,1.323563704,1.035227081,0.999999996,1.042077553,1.041644891,1.016337072,0.999999996,1.081660588,1.037421715,0.999999996
2037-01-01-00:00,1.000000005,0.993328701,1.048552506,1.028419898,1.000000005,1.018479695,1.000485059,1.036912242,1.000000005,1.009650409,0.99491368,1.054061467,1.059455508,0.986560922,1.000000005,1.000000005,0.984182032,1.028883121,1.000000005,1.046176003,1.045667656,1.016534132,1.000000005,1.082934379,1.041747265,1.000000005
2038-01-01-00:00,1,0.989846086,1.041382195,1.019607562,1,1.005726667,0.997897971,1.032005561,1,1.013061857,0.994418398,1.043461451,1.016087045,0.998277846,1,1,0.985357997,1.03769835,1,1.038591219,1.040015729,1.016447812,1,1.076532317,1.037770836,1
2039-01-01-00:00,0.999999992,0.991442066,1.039208459,1.013325172,0.999999992,1.013389488,1.007918393,1.029415859,0.999999992,1.011409592,0.994354879,1.039337121,1.011445945,0.999976869,0.999999992,0.999999992,0.98766386,1.038520546,0.999999992,1.035140307,1.036763704,1.014636024,0.999999992,1.071632048,1.033880455,0.999999992
2040-01-01-00:00,0.999999995,0.989273297,1.036231067,1.011722062,0.999999995,1.035904132,1.002249223,1.027548959,0.999999995,1.008186647,0.99407542,1.036150667,1.002157722,0.989600557,0.999999995,0.999999995,0.979879681,1.024686209,0.999999995,1.032982203,1.035367547,1.014417816,0.999999995,1.069170874,1.034867813,0.999999995
2041-01-01-00:00,1.017295605,0.980070287,1.039220556,1.018465583,1.017295605,1.014281822,0.997102591,1.032991427,1.017295605,1.01020555,0.992410569,1.043311322,1.042770031,0.9893925,1.017295605,1.017295605,0.98197607,1.221643659,1.017295605,1.037141828,1.0320893,1.016383001,1.017295605,1.066626906,1.036090169,1.017295605
2042-01-01-00:00,1.017387404,0.990412292,1.036241368,1.017359512,1.017387404,1.015772547,0.995037637,1.030025191,1.017387404,0.950251628,0.992813678,1.037294767,1.011572854,0.967653015,1.017387404,1.017387404,0.973823676,1.185408989,1.017387404,1.034740084,1.035082746,1.013982551,1.017387404,1.064516747,1.034595924,1.017387404
2043-01-01-00:00,1,1.350346134,1.033811156,0.9996009,1,1.021320132,0.99771388,1.028558257,1,1.007436928,0.99244301,1.033504277,0.995251658,0.980899216,1,1,0.974826568,1.177006455,1,1.032756933,1.033566101,1.016037847,1,1.059558739,1.032255144,1
2044-01-01-00:00,1,0.65036304,1.035134837,1.011537503,1,1.023409114,0.997076709,1.02806036,1,1.012501025,0.9912369,1.035321813,0.994080016,0.964904219,1,1,0.981244925,1.150496164,1,1.032132722,1.03284891,1.007143967,1,1.058477511,1.032348066,1
2045-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2046-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2047-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2048-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2049-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2051-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2052-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2053-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2054-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2055-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2056-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2057-01-01-00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
