name,start_time,end_time,report,coordinates,connected,busbar,control_areas,zone,pmax,pmin,rpmax_up,rpmax_down,rsmax_up,rsmax_down,rtmax_up,rtmax_down,pcost_rp_up,pcost_rs_up,pcost_rt_up,pcost_rp_down,pcost_rs_down,pcost_rt_down,vomc_avg,auxserv,flex,is_ncre,forced_commit,unavailability,candidate,gen_recourse,gen_recourse_start_time,dimensioned,gen_inv_cost,initial_investment,recog_pot,forced_outage_rate,fom_cost,lifetime,inertia,voltage,owner
"ALENA_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_Alena",84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"AURORA_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPuertoMontt500",SEN,"Profile_Aurora",126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"CABO_LEONES_I_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaMaitencillo500",SEN,"Profile_Cabo_Leones_I",116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"CABO_LEONES_II_FASE_I_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaMaitencillo500",SEN,"Profile_Cabo_Leones_I",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"CAMAN_ETAPA_I_EO",2023-02-01-00:00,2060-01-01-00:00,true,0,true,"Pichirropulli500",SEN,"Profile_Caman",146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"EL_ARREBOL_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_ElArrebol",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"EL_MAITEN_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_EolicaCuel",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.002871961,0,50,0,500,None
"EL_NOGAL_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_ElNogal_Eol",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"CANELA_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,"Profile_Canela",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.00894306,0,50,0,500,None
"CANELA_2_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,"Profile_CanelaII",59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.003934995,0,50,0,500,None
"EL_ARRAYAN_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,"Profile_Canela",115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.00894306,0,50,0,500,None
"LA_ESPERANZA_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_EolicaCuel",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.002871961,0,50,0,500,None
"LAS_PENAS_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_EolicaCuel",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.002871961,0,50,0,500,None
"LEBU_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_EolicaCuel",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.002871961,0,50,0,500,None
"LEBU_III_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_ElArrebol",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"PUNTA_COLORADA_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,"Profile_EolicaPuntaColorada",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.036759811,0,50,0,500,None
"TOTORAL_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,"Profile_EolicaTotoral",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.000340875,0,50,0,500,None
"HUAJACHE_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_Huajache",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.001997991,0,50,0,500,None
"LA_FLOR_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_LaFlor",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"LOS_BUENOS_AIRES_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_EolicaLosBuenosAires",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00625,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.003433159,0,50,0,500,None
"LOS_CURUROS_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,"Profile_EolicaLosCururos",110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.001523125,0,50,0,500,None
"MONTE_REDONDO_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,"Profile_MonteRedondo",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.000983641,0,50,0,500,None
"NEGRETE_CUEL_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_EolicaCuel",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.002871961,0,50,0,500,None
"CABO_LEONES_III_FASE_I_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaMaitencillo500",SEN,"Profile_Cabo_Leones_I",78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"LOMAS_DE_DUQUECO_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_EolicaCuel",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.002871961,0,50,0,500,None
"MALLECO_FASE_I_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Mulchen500",SEN,"Profile_PEol_Malleco",135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"MALLECO_FASE_II_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Mulchen500",SEN,"Profile_PEol_Malleco",138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"NEGRETE_ETAPA_I_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_EolicaCuel",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.002871961,0,50,0,500,None
"PUNTA_DE_TALCA_EO",2024-03-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,"Profile_EolicaTalinayOriente",80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.001122527,0,50,0,500,None
"LA_ESTRELLA_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,"Profile_LaEstrella",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"PUELCHE_SUR_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPuertoMontt500",SEN,"Profile_Puelche_Sur",152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"PUNTA_PALMERA_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,"Profile_EolicaPuntaPalmeras",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00558,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.003228352,0,50,0,500,None
"PUNTA_SIERRA_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,"Profile_PUNTASIERRA",80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017308158,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"RAKI_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_Raki",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.013333028,0,50,0,500,None
"RENAICO_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_ParqueEolicoRenaico",88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.003797389,0,50,0,500,None
"SAN_GABRIEL_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Mulchen500",SEN,"Profile_San_Gabriel",183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"SAN_JUAN_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,"Profile_EolicaSanJuan",185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.003888651,0,50,0,500,None
"SAN_PEDRO_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPuertoMontt500",SEN,"Profile_Aurora",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"SAN_PEDRO_II_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPuertoMontt500",SEN,"Profile_Aurora",65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"SAN_RARINCO_EO",2023-12-01-00:00,2060-01-01-00:00,true,0,false,"Concepcion500",SEN,"Profile_SanRarinco",99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"SARCO_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaMaitencillo500",SEN,"Profile_Sarco",169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"TALTAL_EO",2018-01-01-00:00,2023-12-31-00:00,true,0,true,"Cumbre500",SEN,"Profile_EolicaTaltal",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00558,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.001183171,0,50,0,500,None
"TALTAL_EO_RBC",2024-01-01-00:00,2060-01-01-00:00,true,0,true,"Parinas500",SEN,"Profile_Eolica_TalTalEol02",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.003888651,0,50,0,500,None
"TALINAY_ORIENTE_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,"Profile_EolicaTalinayOriente",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.001122527,0,50,0,500,None
"TALINAY_PONIENTE_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,"Profile_EolicaTalinayPoniente",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00558,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.00408153,0,50,0,500,None
"TOLPAN_SUR_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Mulchen500",SEN,"Profile_San_Gabriel",84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"UCUQUER_I_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,"Profile_Eol_Polpaico500",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"UCUQUER_II_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,"Profile_LaEstrella",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"MESAMAVIDA_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_EolicaCuel",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.002871961,0,50,0,500,None
"LOS_OLMOS_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Mulchen500",SEN,"Profile_ElNogal_Eol",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.0051,0,30,0,500,None
"RENAICO_II_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_ParqueEolicoRenaico",144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,2000,0,1,0.0038,0,30,0,500,None
"CABO_LEONES_I_EXT_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaMaitencillo500",SEN,"Profile_Cabo_Leones_I",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"OCHS_EO",2021-07-01-00:00,2060-01-01-00:00,true,0,true,"Pichirropulli500",SEN,"Profile_Eol_Pichirropulli500",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"CABO_LEONES_III_FASE_II_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaMaitencillo500",SEN,"Profile_Eol_NuevaMaitencillo500",110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"EL_CRUCE_EO",2021-06-01-00:00,2060-01-01-00:00,true,0,true,"Pichirropulli500",SEN,"Profile_Eol_Pichirropulli500",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"CAMPO_LINDO_I_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaCharrua500",SEN,"Profile_Eol_NuevaCharrua500",63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"CABO_LEONES_II_FASE_II_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaMaitencillo500",SEN,"Profile_Cabo_Leones_I",172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"VIENTOS_DEL_LAGO_EO",2025-12-01-00:00,2060-01-01-00:00,true,0,false,"NuevaPuertoMontt500",SEN,"Profile_Puelche_Sur",132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:04,false,0,0,1,0.005062647,0,50,0,500,None
"DA�ICALQUI_EO",2025-12-01-00:00,2060-01-01-00:00,true,0,false,"Concepcion500",SEN,"Profile_EolicaCuel",95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.002871961,0,50,0,500,None
"SAN_ANDRES_EO",2025-11-01-00:00,2060-01-01-00:00,true,0,false,"Mulchen500",SEN,"Profile_PEol_Malleco",120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"COLINAS_EO",2025-12-01-00:00,2060-01-01-00:00,true,0,false,"NuevaCharrua500",SEN,"Profile_Eol_NuevaCharrua500",188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:07,false,0,0,1,0.005062647,0,50,0,500,None
"ATACAMA_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaMaitencillo500",SEN,"Profile_Cabo_Leones_I",165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"CARDONAL_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,"Profile_LaEstrella",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"MANANTIALES_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,"Profile_LaEstrella",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"CAMPO_LINDO_II_EO",2022-04-01-00:00,2060-01-01-00:00,true,0,false,"NuevaCharrua500",SEN,"Profile_Eol_NuevaCharrua500",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"LEBU_NORTE_EO",2024-07-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_EolicaCuel",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.002871961,0,50,0,500,None
"LA_CABA�A_ETAPA_1_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_ParqueEolicoRenaico",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.003797389,0,50,0,500,None
"LA_CABA�A_ETAPA_2_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_ParqueEolicoRenaico",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.003797389,0,50,0,500,None
"SAN_MATIAS_E1_EO",2024-02-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_EolicaCuel",77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.002871961,0,50,0,500,None
"LONCUALHUE_EO",2026-12-01-00:00,2060-01-01-00:00,true,0,true,"NuevaCharrua500",SEN,"Profile_Eol_NuevaCharrua500",187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
