name,bus_i,bus_j,x,fmax_ab,fmax_ba,dc,losses
L1_Lagunas220_Kimal220,Lagunas220,Kimal220,0.02892562,660,660,True,True
L1_Kimal220_NuevaZaldivar220,Kimal220,NuevaZaldivar220,0.092975207,815,815,True,True
Tr1_Kimal500_Kimal220,Kimal500,Kimal220,0.0096,1500,1500,True,True
L1_Kimal500_LosChangos500,Kimal500,LosChangos500,0.007306,1500,1500,True,True
Tr1_LosChangos500_LosChangos220,LosChangos500,LosChangos220,0.0064,1500,1500,True,True
L1_LosChangos220_NuevaZaldivar220,LosChangos220,NuevaZaldivar220,0.094008264,525,525,True,True
L1_LosChangos500_Parinas500,LosChangos500,Parinas500,0.013196,1500,1500,True,True
L1_Parinas500_Cumbre500,Parinas500,Cumbre500,0.007918,1500,1500,True,True
L1_Cumbre500_NuevaCardones500,Cumbre500,NuevaCardones500,0.010098,1500,1500,True,True
L1_NuevaCardones500_NuevaMaitencillo500,NuevaCardones500,NuevaMaitencillo500,0.007163,2360,2360,True,True
L1_NuevaMaitencillo500_NuevaPandeAzucar500,NuevaMaitencillo500,NuevaPandeAzucar500,0.011297,2500,2500,True,True
L1_NuevaPandeAzucar500_Polpaico500,NuevaPandeAzucar500,Polpaico500,0.021724,2280,2280,True,True
L1_Polpaico500_AltoJahuel500,Polpaico500,AltoJahuel500,0.004163,1880,1880,True,True
L1_AltoJahuel500_Ancoa500,AltoJahuel500,Ancoa500,0.007072,2765,2765,True,True
L1_Ancoa500_NuevaCharrua500,Ancoa500,NuevaCharrua500,0.007379,3000,3000,True,True
L1_RioMalleco500_Pichirropulli500,RioMalleco500,Pichirropulli500,0.016619333,483,483,True,True
LC_Kimal500_AltoJahuel500,Kimal500,AltoJahuel500,0.055555556,3000,3000,True,True
L1_Pichirropulli500_NuevaPuertoMontt500,Pichirropulli500,NuevaPuertoMontt500,0.004,145,145,True,True
L1_NuevaPuertoMontt500_Ancud500,NuevaPuertoMontt500,NuevaAncud500,0.004,102,102,True,True
L1_NuevaPozoAlmonte220_Lagunas220,NuevaPozoAlmonte220,Lagunas220,0.2,183,183,True,True
L1_Parinacota220_NuevaPozoAlmonte220,NuevaPozoAlmonte220,Parinacota220,0.2,91,91,True,True
L1_Quillota500_Polpaico500,Quillota500,Polpaico500,0.2,1803,1803,True,True
L1_Candelaria500_AltoJahuel500,Candelaria500,AltoJahuel500,0.2,680,680,True,True
L1_Rapel500_AltoJahuel500,Rapel500,AltoJahuel500,0.2,394,394,True,True
L1_Concepcion500_NuevaCharrua500,Concepcion500,NuevaCharrua500,0.2,260,260,True,True
L1_NuevaCharrua500_Mulchen500,Mulchen500,NuevaCharrua500,0.2,880,880,True,True
LC_NuevaCharrua500_Mulchen500,NuevaCharrua500,Mulchen500,0.2,337,337,True,True
L1_Mulchen500_RioMalleco50,RioMalleco500,Mulchen500,0.2,630,630,True,True
LC_Parinas500_NuevaZaldivar220,Parinas500,NuevaZaldivar220,0.2,660,660,True,True
LC_Pichirropulli500_NuevaPuertoMontt500,Pichirropulli500,NuevaPuertoMontt500,0.2,515,515,True,True
LC_NuevaPuertoMontt500_NuevaAncud500,NuevaPuertoMontt500,NuevaAncud500,0.2,558,558,True,True
LC_RioMalleco500_Pichirropulli500,RioMalleco500,Pichirropulli500,0.2,660,660,True,True
LC_NuevaPozoAlmonte220_Parinacota220,NuevaPozoAlmonte220,Parinacota220,0.2,91,91,True,True
LC_NuevaPozoAlmonte220_Lagunas220,NuevaPozoAlmonte220,Lagunas220,0.2,183,183,True,True
LC_Lagunas220_Kimal220,Lagunas220,Kimal220,0.2,65,65,True,True
LC_AltoJahuel500_Ancoa500,AltoJahuel500,Ancoa500,0.2,135,135,True,True
L2_2020_Lagunas220_Kimal220,Lagunas220,Kimal220,0.2,750,750,True,True
L2_NuevaMaitencillo500_NuevaPandeAzucar500,NuevaMaitencillo500,NuevaPandeAzucar500,0.005,30,30,True,True
L3_2020_Lagunas220_Kimal220,Lagunas220,Kimal220,0.2,750,750,True,True
L2_Parinas500_NuevaZaldivar500,Parinas500,NuevaZaldivar220,0.008,2300,2300,True,True
L2_Lagunas220_Kimal220,Lagunas220,Kimal220,0.02892562,750,750,True,True
L2_Kimal220_NuevaZaldivar220,Kimal220,NuevaZaldivar220,0.092975207,1000,1000,True,True
L2_Kimal220_LosChangos220,Kimal220,LosChangos220,0.103305785,1000,1000,True,True
Tr2_Kimal500_Kimal220,Kimal500,Kimal220,0.0096,750,750,True,True
L2_Kimal500_LosChangos500,Kimal500,LosChangos500,0.0072,2300,2300,True,True
Tr2_LosChangos500_LosChangos220,LosChangos500,LosChangos220,0.0064,750,750,True,True
L2_LosChangos220_NuevaZaldivar220,LosChangos220,NuevaZaldivar220,0.094008264,1000,1000,True,True
L2_Polpaico500_AltoJahuel500,Polpaico500,AltoJahuel500,0.004,2300,2300,True,True
L3_Parinas500_NuevaZaldivar500,Parinas500,NuevaZaldivar220,0.008,2300,2300,True,True
L3_Lagunas220_Kimal220,Lagunas220,Kimal220,0.02892562,250,250,True,True
L3_Kimal220_NuevaZaldivar220,Kimal220,NuevaZaldivar220,0.092975207,250,250,True,True
L3_Kimal220_LosChangos220,Kimal220,LosChangos220,0.103305785,250,250,True,True
Tr3_Kimal500_Kimal220,Kimal500,Kimal220,0.0096,750,750,True,True
L3_Kimal500_LosChangos500,Kimal500,LosChangos500,0.0072,1500,1500,True,True
Tr3_LosChangos500_LosChangos220,LosChangos500,LosChangos220,0.0064,750,750,True,True
L3_LosChangos220_NuevaZaldivar220,LosChangos220,NuevaZaldivar220,0.094008264,250,250,True,True
L4_Parinas500_NuevaZaldivar500,Parinas500,NuevaZaldivar220,0.008,1500,1500,True,True
L4_Lagunas220_Kimal220,Lagunas220,Kimal220,0.02892562,250,250,True,True
L4_Kimal220_NuevaZaldivar220,Kimal220,NuevaZaldivar220,0.092975207,250,250,True,True
L4_Kimal220_LosChangos220,Kimal220,LosChangos220,0.103305785,250,250,True,True
Tr4_Kimal500_Kimal220,Kimal500,Kimal220,0.0096,750,750,True,True
L4_Kimal500_LosChangos500,Kimal500,LosChangos500,0.0072,1500,1500,True,True
Tr4_LosChangos500_LosChangos220,LosChangos500,LosChangos220,0.0064,750,750,True,True
L4_LosChangos220_NuevaZaldivar220,LosChangos220,NuevaZaldivar220,0.094008264,250,250,True,True
L5_NuevaPandeAzucar500_Polpaico500,NuevaPandeAzucar500,Polpaico500,0.01,2300,2300,True,True
L5_NuevaCardones500_NuevaMaitencillo500,NuevaCardones500,NuevaMaitencillo500,0.0072,2300,2300,True,True
L5_NuevaMaitencillo500_NuevaPandeAzucar500,NuevaMaitencillo500,NuevaPandeAzucar500,0.005,2300,2300,True,True
L5_Parinas500_NuevaCardones500,Parinas500,NuevaCardones500,0.00536,2300,2300,True,True
L5_LosChangos500_Parinas500,LosChangos500,Parinas500,0.0062,2300,2300,True,True
L6_Kimal500_AltoJahuel500,Kimal500,AltoJahuel500,0.055555556,3000,3000,True,True
L6_Parinas500_AltoJahuel500,Parinas500,AltoJahuel500,0.055555556,3000,3000,True,True
L5_Maitencillo500_AltoJahuel500,NuevaMaitencillo500,AltoJahuel500,0.055555556,2200,2200,True,True
L6_Maitencillo500_AltoJahuel500,NuevaMaitencillo500,AltoJahuel500,0.055555556,3000,3000,True,True
L2_NuevaPozoAlmonte220_Parinacota220,NuevaPozoAlmonte220,Parinacota220,0.2,2300,2300,True,True
L2_NuevaPozoAlmonte220_Lagunas220,NuevaPozoAlmonte220,Lagunas220,0.2,2300,2300,True,True
L2_Quillota500_Polpaico500,Quillota500,Polpaico500,0.2,2300,2300,True,True
L2_Rapel500_AltoJahuel500,Rapel500,AltoJahuel500,0.2,2300,2300,True,True
L2_Candelaria500_AltoJahuel500,Candelaria500,AltoJahuel500,0.2,2300,2300,True,True
L2_Concepcion500_NuevaCharrua500,Concepcion500,NuevaCharrua500,0.2,2300,2300,True,True
L4_NuevaPozoAlmonte220_Parinacota220,NuevaPozoAlmonte220,Parinacota220,0.2,600,600,True,True
L4_NuevaPozoAlmonte220_Lagunas220,NuevaPozoAlmonte220,Lagunas220,0.2,600,600,True,True
L4_Quillota500_Polpaico500,Quillota500,Polpaico500,0.2,600,600,True,True
L4_Rapel500_AltoJahuel500,Rapel500,AltoJahuel500,0.2,600,600,True,True
L4_Candelaria500_AltoJahuel500,Candelaria500,AltoJahuel500,0.2,600,600,True,True
L4_Concepcion500_NuevaCharrua500,Concepcion500,NuevaCharrua500,0.2,600,600,True,True
L3_NuevaPozoAlmonte220_Parinacota220,NuevaPozoAlmonte220,Parinacota220,0.2,300,300,True,True
L3_NuevaPozoAlmonte220_Lagunas220,NuevaPozoAlmonte220,Lagunas220,0.2,300,300,True,True
L3_Quillota500_Polpaico500,Quillota500,Polpaico500,0.2,300,300,True,True
L3_Rapel500_AltoJahuel500,Rapel500,AltoJahuel500,0.2,300,300,True,True
L3_Candelaria500_AltoJahuel500,Candelaria500,AltoJahuel500,0.2,300,300,True,True
L3_Concepcion500_NuevaCharrua500,Concepcion500,NuevaCharrua500,0.2,300,300,True,True
L5_Ancoa500_NuevaCharrua500,Ancoa500,NuevaCharrua500,0.002,500,500,True,True
L6_Ancoa500_NuevaCharrua500,Ancoa500,NuevaCharrua500,0.002,400,400,True,True
L5_AltoJahuel500_Ancoa500,AltoJahuel500,Ancoa500,0.002,400,400,True,True
L5_NuevaCharrua500_Mulchen500,NuevaCharrua500,Mulchen500,0.002,1000,1000,True,True
L5_RioMalleco500_Mulchen500,RioMalleco500,Mulchen500,0.002,1000,1000,True,True
L5_RioMalleco500_Pichirropulli500,RioMalleco500,Pichirropulli500,0.002,1000,1000,True,True
L5_Pichirropulli500_NuevaPuertoMontt500,Pichirropulli500,NuevaPuertoMontt500,0.002,1000,1000,True,True
L5_NuevaPuertoMontt500_Ancud500,NuevaPuertoMontt500,NuevaAncud500,0.002,2300,2300,True,True
L7_AltoJahuel500_RioMalleco500,AltoJahuel500,RioMalleco500,0.002,3000,3000,True,True
L1_RioMalleco500_Mulchen500,RioMalleco500,Mulchen500,0.2,630,630,True,True
L8_NuevaCharrua500_Mulchen500,NuevaCharrua500,Mulchen500,0.0034,660,660,True,True
L8_Mulchen500_RioMalleco500,Mulchen500,RioMalleco500,0.0034,660,660,True,True
L1_Lagunas500_Kimal500,Lagunas500,Kimal500,0.009158,1500,1500,True,True
Tr1_Lagunas500_Lagunas220,Lagunas500,Lagunas220,0.0096,750,750,True,True
L5_Parinas500_NuevaZaldivar500,Parinas500,NuevaZaldivar220,0.008,1500,1500,True,True
L6_Parinas500_Kimal220,Parinas500,Kimal220,0.002,3000,3000,True,True
L2_Lagunas500_Kimal500,Lagunas500,Kimal500,0.002,2300,2300,True,True
Tr_Lagunas500_Lagunas220,Lagunas500,Lagunas220,0.0096,750,750,True,True
L2_Concepcion500_VadoPedregoso500,Concepcion500,VadoPedregoso500,0.002,2300,2300,True,True
L3_Concepcion500_VadoPedregoso500,Concepcion500,VadoPedregoso500,0.002,600,600,True,True
L2_VadoPedregoso500_RioMalleco500,VadoPedregoso500,RioMalleco500,0.002,2300,2300,True,True
