name,busbar,connected,pmax,pmin,heatrate_avg,vomc_avg,rampup,rampdn,minuptime,mindntime,startcost,shutdncost,uc_linear,faststart,fuel_name,co2_emission,unavailability,is_ncre,forced_commit,initialstate,initialtime,control_areas,auxserv,voltage
ALMENDRADO,NuevaPuertoMontt500,True,2.955,0.0,0.241463722,22.54208196,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ALMENDRADO_Diesel,0.58,0.000834805,False,False,off,0.0,SEN,0.0,500.0
ANCALI_1,Concepcion500,True,1.56,0.0,1.356509042,19.665,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ANCALI_1_Biogas,0.0,0.624538562,False,False,off,0.0,SEN,0.0,500.0
ANDES_U1_DIE,Cumbre500,True,7.039,0.0,0.221015763,9.78,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ANDES_U1_DIE_Diesel,0.41,0.0,False,False,off,0.0,SEN,0.0,500.0
ANDES_U2_DIE,Cumbre500,True,7.039,0.0,0.221015763,9.78,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ANDES_U2_DIE_Diesel,0.29,0.0,False,False,off,0.0,SEN,0.0,500.0
ANDES_U3_DIE,Cumbre500,True,7.121,0.0,0.211849383,13.54,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ANDES_U3_DIE_Diesel,0.0,0.0,False,False,off,0.0,SEN,0.0,500.0
ANDES_U4_DIE,Cumbre500,True,12.899,0.0,0.207416817,11.5,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ANDES_U4_DIE_Diesel,0.36,0.0,False,False,off,0.0,SEN,0.0,500.0
ANTILHUE_U1,Pichirropulli500,True,46.432,0.0,0.225934693,29.49,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ANTILHUE_U1_Diesel,0.0,0.07822374,False,False,off,0.0,SEN,0.0,500.0
ANTILHUE_U2,Pichirropulli500,True,47.971,0.0,0.229493663,29.49,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ANTILHUE_U2_Diesel,0.58,0.019755489,False,False,off,0.0,SEN,0.0,500.0
ARAUCO,Concepcion500,True,24.0,0.0,1.3514251,0.0,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ARAUCO_Biomasa,0.0,0.015116648,False,False,off,0.0,SEN,0.0,500.0
BIO_CRUZ,Quillota500,True,5.2,0.0,0.267752854,6.94,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_BIO_CRUZ_GN,0.36,0.0,False,False,off,0.0,SEN,0.0,500.0
CALLECALLE,Pichirropulli500,True,11.6,0.0,0.222257955,21.68600997,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CALLECALLE_Diesel,0.35,0.05434,False,False,off,0.0,SEN,0.0,500.0
CAMPICHE,Quillota500,True,248.59,120.17,0.354550024,7.81,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CAMPICHE_Carbon,0.4,0.060682639,False,True,off,0.0,SEN,0.0,220.0
CANETE,Concepcion500,True,4.4,0.0,0.24,19.78,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CANETE_Diesel,0.77,0.0,False,False,off,0.0,SEN,0.0,500.0
CARDONES,NuevaCardones500,True,148.677,0.0,0.241560279,24.41,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CARDONES_Diesel,0.81,0.008429926,False,False,off,0.0,SEN,0.0,500.0
CASABLANCA_1,Quillota500,True,1.6,0.0,0.311,36.71,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CASABLANCA_1_Diesel,0.76,0.0,False,False,off,0.0,SEN,0.0,500.0
CASABLANCA_2,Quillota500,True,0.9,0.0,0.311,30.1,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CASABLANCA_2_Diesel,0.63,0.0,False,False,off,0.0,SEN,0.0,500.0
CELCO_BL1,Ancoa500,True,5.0,0.0,1.341907838,0.0,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CELCO_BL1_Biomasa,0.48,0.11665751,False,False,off,0.0,SEN,0.0,500.0
CELCO_BL2,Ancoa500,True,3.0,0.0,0.31,0.0,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CELCO_BL2_fuel_oil,0.75,0.11665751,False,False,off,0.0,SEN,0.0,500.0
CEMENTOS_BIOBIO_DIE,AltoJahuel500,True,12.078724,0.0,0.345966818,16.84,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CEMENTOS_BIOBIO_DIE_Diesel,0.6,0.05434,False,False,off,0.0,SEN,0.0,500.0
CENIZAS,NuevaCardones500,True,4.937,0.0,0.243169091,13.811,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CENIZAS_Diesel,0.38,0.05434,False,False,off,0.0,SEN,0.0,500.0
CORTES,Quillota500,True,2.97,0.0,0.194066667,54.89,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CORTES_Diesel,0.0,0.0,False,False,off,0.0,SEN,0.0,500.0
AGNI,Polpaico500,True,2.97,0.0,0.201166667,45.55,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_AGNI_Diesel,0.0,0.0,False,False,off,0.0,SEN,0.0,500.0
CERN_LEPANTO,AltoJahuel500,True,2.0,0.0,0.241463722,22.54208196,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CERN_LEPANTO_Diesel,0.37,0.05434,False,False,off,0.0,SEN,0.0,220.0
CHILE_GENERACION,Ancoa500,True,1.1004,0.0,0.241463722,22.54208196,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CHILE_GENERACION_Diesel,0.26,0.007179896,False,False,off,0.0,SEN,0.0,220.0
CHILOE,NuevaPuertoMontt500,True,9.0,0.0,0.2138,57.22,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CHILOE_Diesel,0.31,0.03840328,False,False,off,0.0,SEN,0.0,220.0
CHOLGUAN_BL1,Concepcion500,True,9.0,0.0,1.427737379,0.0,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CHOLGUAN_BL1_Biomasa,0.33,0.009184266,False,False,off,0.0,SEN,0.0,220.0
CHOLGUAN_BL2,Concepcion500,True,4.0,0.0,0.32,0.0,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CHOLGUAN_BL2_Diesel,0.8,0.009184266,False,False,off,0.0,SEN,0.0,220.0
CHUFKEN,Mulchen500,True,2.4,0.0,0.24,19.17,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CHUFKEN_Diesel,0.8,0.0,False,False,off,0.0,SEN,0.0,220.0
CHUYACA,Pichirropulli500,True,11.3,0.0,0.248163636,21.6319321,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CHUYACA_Diesel,0.0,0.406633042,False,False,off,0.0,SEN,0.0,220.0
CMPC_SANTA_FE,Concepcion500,True,5.0,0.0,5.59,5.0,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CMPC_SANTA_FE_Biomasa,0.0,0.02204225,False,False,off,0.0,SEN,0.0,220.0
CMPC_TISSUE,AltoJahuel500,True,3.9,0.0,0.247836038,4.088721769,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CMPC_TISSUE_GN,0.85,0.009621774,False,False,off,0.0,SEN,0.0,220.0
COELEMU,Concepcion500,True,5.89016,0.0,0.241463722,22.54208196,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_COELEMU_Diesel,0.85,0.066532277,False,False,off,0.0,SEN,0.0,220.0
COLIHUES_U1_HFO,Ancoa500,True,9.563409563,0.0,0.214,22.18,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_COLIHUES_U1_HFO_fuel_oil,1.0,0.508912831,False,False,off,0.0,SEN,0.0,220.0
COLIHUES_U2_HFO,Ancoa500,True,9.563409563,0.0,0.214,22.18,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_COLIHUES_U2_HFO_fuel_oil,1.07,0.578828114,False,False,off,0.0,SEN,0.0,220.0
COMBARBALA,NuevaPandeAzucar500,True,75.97,0.0,0.2178,45.16,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_COMBARBALA_Diesel,0.85,5.41e-05,False,False,off,0.0,SEN,0.0,220.0
CONSTITUCION-EGEN,Ancoa500,True,9.0,0.0,0.217428028,38.39,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CONSTITUCION-EGEN_Diesel,0.85,0.041640454,False,False,off,0.0,SEN,0.0,220.0
CONTULMO,Concepcion500,True,0.83,0.0,0.241463722,22.54208196,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CONTULMO_Diesel,1.01,0.05434,False,False,off,0.0,SEN,0.0,220.0
CURACAUTIN,Mulchen500,True,2.4,0.0,0.22,19.49,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CURACAUTIN_Diesel,1.03,0.0,False,False,off,0.0,SEN,0.0,220.0
CURAUMA,Quillota500,True,2.5,0.0,0.311,37.08,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CURAUMA_Diesel,0.0,0.0,False,False,off,0.0,SEN,0.0,220.0
DANISCO,NuevaPuertoMontt500,True,0.8,0.0,0.217074,19.29,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_DANISCO_Diesel,0.66,0.05434,False,False,off,0.0,SEN,0.0,220.0
DEGAN,NuevaPuertoMontt500,True,36.0,0.0,0.217909091,45.52,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_DEGAN_Diesel,0.52,0.0,False,False,off,0.0,SEN,0.0,220.0
DEGAN_2_NAVE4,NuevaPuertoMontt500,True,9.36,0.0,0.217909091,45.52,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_DEGAN_2_NAVE4_Diesel,0.86,0.0,False,False,off,0.0,SEN,0.0,220.0
DEGAN_2_NAVE5,NuevaPuertoMontt500,True,5.268,0.0,0.254272727,57.01,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_DEGAN_2_NAVE5_Diesel,0.463846154,0.0,False,False,off,0.0,SEN,0.017105887,220.0
DIEGO_DE_ALMAGRO,Cumbre500,True,23.6691,0.0,0.337,6.63,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_DIEGO_DE_ALMAGRO_Diesel,0.83,0.014738308,False,False,off,0.0,SEN,0.0,220.0
EL_CAMPESINO_BIOGAS,Polpaico500,True,1.005050505,0.0,1.356509042,19.665,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_EL_CAMPESINO_BIOGAS_Biogas,0.0,0.269679963,False,False,off,0.0,SEN,0.0,220.0
EL_CANELO_1,NuevaPuertoMontt500,True,3.0,0.0,0.2965,35.0,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_EL_CANELO_1_Diesel,0.0,0.0,False,False,off,0.0,SEN,0.0,220.0
EL_CANELO_2,NuevaPuertoMontt500,True,3.0,0.0,0.2965,35.0,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_EL_CANELO_2_Diesel,0.0,0.0,False,False,off,0.0,SEN,0.0,220.0
EL_MOLLE,Quillota500,True,4.1456,0.0,0.241463722,22.54208196,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_EL_MOLLE_Diesel,0.81,0.000285926,False,False,off,0.0,SEN,0.0,220.0
EL_NOGAL,AltoJahuel500,True,3.0,0.0,0.2353,38.9,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_EL_NOGAL_Diesel,0.0,0.0,False,False,off,0.0,SEN,0.0,220.0
EL_PENON,NuevaPandeAzucar500,True,80.838,0.0,0.2193,37.28,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_EL_PENON_Diesel,0.94,0.000648601,False,False,off,0.0,SEN,0.0,220.0
EL_SALVADOR,Cumbre500,True,17.702,0.0,0.340379624,15.99,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_EL_SALVADOR_Diesel,0.84,0.159833893,False,False,off,0.0,SEN,0.0,220.0
EMELDA_U1,Cumbre500,True,36.243,0.0,0.265454545,11.77,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_EMELDA_U1_Diesel,0.72,0.0,False,False,off,0.0,SEN,0.0,220.0
EMELDA_U2,Cumbre500,True,34.04,0.0,0.27571604,12.38,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_EMELDA_U2_Diesel,1.67,0.0,False,False,off,0.0,SEN,0.0,220.0
ENERGIA_PACIFICO,AltoJahuel500,True,14.3052,0.0,1.5625,9.83,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ENERGIA_PACIFICO_Biomasa,1.62,0.094350992,False,False,off,0.0,SEN,0.0,220.0
ERMITANO,Polpaico500,True,3.0,0.0,0.2353,37.9,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ERMITANO_Diesel,0.72,0.0,False,False,off,0.0,SEN,0.0,220.0
ESCUADRON,Concepcion500,True,12.45409836,0.0,1.85,4.8,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ESCUADRON_Biomasa,0.61,0.082370976,False,False,off,0.0,SEN,0.0,220.0
ESPERANZA_TG1,Ancoa500,True,18.612,0.0,0.34543572,9.1,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ESPERANZA_TG1_Diesel,0.56,0.0,False,False,off,0.0,SEN,0.0,220.0
ESPERANZA_DS1,Ancoa500,True,1.5392,0.0,0.2301,28.2,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ESPERANZA_DS1_Diesel,0.0,0.006790548,False,False,off,0.0,SEN,0.0,220.0
ESPERANZA_DS2,Ancoa500,True,1.791,0.0,0.202936364,25.7,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ESPERANZA_DS2_Diesel,0.0,0.002283474,False,False,off,0.0,SEN,0.0,220.0
ESPINOS_BL1,Quillota500,True,100.0,0.0,0.208698864,26.4,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ESPINOS_BL1_Diesel,0.0,0.009662277,False,False,off,0.0,SEN,0.0,220.0
ESPINOS_BL2,Quillota500,True,24.0,0.0,0.205294318,67.8,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ESPINOS_BL2_Diesel,0.0,0.009512934,False,False,off,0.0,SEN,0.0,220.0
ESTANCILLA,AltoJahuel500,True,3.0,0.0,0.228,39.2,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ESTANCILLA_Diesel,0.0,0.0,False,False,off,0.0,SEN,0.0,220.0
GUACOLDA_1,NuevaMaitencillo500,True,142.31,43.49,0.398761931,5.311111111,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_GUACOLDA_1_Carbon,0.0,0.021523217,False,True,off,0.0,SEN,0.0,220.0
GUACOLDA_2,NuevaMaitencillo500,True,133.83,43.49,0.432946452,4.866666667,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_GUACOLDA_2_Carbon,0.69,0.046618594,False,True,off,0.0,SEN,0.0,220.0
GUACOLDA_3,NuevaMaitencillo500,True,140.6,33.37,0.366685837,3.246666667,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_GUACOLDA_3_Carbon,0.0,0.048198211,False,True,off,0.0,SEN,0.0,220.0
GUACOLDA_4,NuevaMaitencillo500,True,142.31,27.41,0.377070666,5.753333333,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_GUACOLDA_4_Carbon,0.0,0.04226337,False,True,off,0.0,SEN,0.0,220.0
GUACOLDA_5,NuevaMaitencillo500,True,142.673,26.78,0.381255393,4.13,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_GUACOLDA_5_Carbon,0.76,0.016586079,False,True,off,0.0,SEN,0.0,500.0
HBS,Concepcion500,True,1.1,0.0,0.256236443,6.94,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_HBS_GN,0.0,0.0,False,False,off,0.0,SEN,0.0,500.0
HBS_GNL,Concepcion500,True,3.3822985,0.0,0.256236443,6.94,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_HBS_GNL_GN,0.0,0.0,False,False,off,0.0,SEN,0.0,500.0
HORCONES_DIE,Concepcion500,True,24.3,0.0,0.324881818,10.0,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_HORCONES_DIE_Diesel,0.0,0.140608466,False,False,off,0.0,SEN,0.0,500.0
HUASCO-TG_U1_DIE,NuevaMaitencillo500,True,19.22366667,0.0,0.348,7.86,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_HUASCO-TG_U1_DIE_Diesel,0.0,0.540048544,False,False,off,0.0,SEN,0.0,500.0
HUASCO-TG_U2_DIE,NuevaMaitencillo500,True,19.22366667,0.0,0.348,7.86,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_HUASCO-TG_U2_DIE_Diesel,0.0,0.646547981,False,False,off,0.0,SEN,0.0,500.0
HUASCO-TG_U3_DIE,NuevaMaitencillo500,True,19.22366667,0.0,0.348,7.86,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_HUASCO-TG_U3_DIE_Diesel,0.71,0.643398012,False,False,off,0.0,SEN,0.0,500.0
LAJA-EVE_1,Concepcion500,True,7.917,0.0,2.66,3.403263712,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_LAJA-EVE_1_Biomasa,0.0,0.016267335,False,False,off,0.0,SEN,0.0,500.0
LAJA-EVE_2,Concepcion500,True,3.549,0.0,0.0,0.0,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_LAJA-EVE_2_Biomasa,0.0,0.026547449,False,False,off,0.0,SEN,0.0,500.0
CMPC_LAJA_BL1,Concepcion500,True,5.0,0.0,1.0572,0.0,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CMPC_LAJA_BL1_Biomasa,0.7,0.006814439,False,False,off,0.0,SEN,0.0,500.0
CMPC_LAJA_BL2,Concepcion500,True,9.581821744,0.0,1.0572,0.0,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CMPC_LAJA_BL2_Biomasa,0.66,0.006814439,False,False,off,0.0,SEN,0.0,500.0
CMPC_LAJA_BL3,Concepcion500,True,9.581821744,0.0,1.0572,0.0,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CMPC_LAJA_BL3_Biomasa,0.81,0.006197172,False,False,off,0.0,SEN,0.0,500.0
LAS_VEGAS,Quillota500,True,2.09895,0.0,0.220581012,25.4,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_LAS_VEGAS_Diesel,0.77,0.004492795,False,False,off,0.0,SEN,0.0,500.0
LAUTARO_1_BL1,Concepcion500,True,20.0,0.0,2.952,9.7,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_LAUTARO_1_BL1_Biomasa,0.76,0.11115431,False,False,off,0.0,SEN,0.0,500.0
LAUTARO_1_BL2,Concepcion500,True,4.0,0.0,2.682,9.7,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_LAUTARO_1_BL2_Biomasa,0.85,0.11115431,False,False,off,0.0,SEN,0.0,500.0
LAUTARO_2_BL1,Concepcion500,True,13.22,0.0,1.36,9.8,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_LAUTARO_2_BL1_Biomasa,0.0,0.117551414,False,False,off,0.0,SEN,0.0,500.0
LAUTARO_2_BL2,Concepcion500,True,5.52,0.0,1.36,9.8,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_LAUTARO_2_BL2_Biomasa,0.0,0.117551414,False,False,off,0.0,SEN,0.0,500.0
LEBU,Concepcion500,True,2.4,0.0,0.24,17.43,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_LEBU_Diesel,0.0,0.0,False,False,off,0.0,SEN,0.0,500.0
LINARES,Ancoa500,True,0.5,0.0,0.206454545,21.61,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_LINARES_Diesel,0.0,0.051798942,False,False,off,0.0,SEN,0.0,500.0
LONQUIMAY,Mulchen500,True,1.2,0.0,0.27,25.02,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_LONQUIMAY_Diesel,0.72,0.0,False,False,off,0.0,SEN,0.0,500.0
LOS_ALAMOS,Concepcion500,True,0.8,0.0,0.24,25.45,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_LOS_ALAMOS_Diesel,0.61,0.0,False,False,off,0.0,SEN,0.0,500.0
LOMA_LOS_COLORADOS_1,Polpaico500,True,1.8,0.0,1.6543,11.57,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_LOMA_LOS_COLORADOS_1_Biogas,0.76,0.04768,False,False,off,0.0,SEN,0.0,500.0
LOMA_LOS_COLORADOS_2,Polpaico500,True,18.2,0.0,1.356509042,24.33,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_LOMA_LOS_COLORADOS_2_Biogas,0.0,0.00746942,False,False,off,0.0,SEN,0.0,500.0
